date_purchase_id,date_purchase
961,2022-04-25
1095,2022-10-12
877,2022-01-07
139,2019-06-18
311,2020-01-12
225,2019-09-30
112,2019-05-15
621,2021-02-15
655,2021-03-29
734,2021-07-09
202,2019-09-01
308,2020-01-09
423,2020-06-14
962,2022-04-27
816,2021-10-13
1023,2022-07-16
518,2020-10-18
541,2020-11-17
715,2021-06-13
736,2021-07-11
183,2019-08-09
1380,2023-10-01
1319,2023-07-18
1143,2022-12-10
738,2021-07-13
425,2020-06-17
553,2020-11-30
1071,2022-09-09
10,2019-01-13
1031,2022-07-25
1088,2022-10-03
749,2021-07-30
737,2021-07-12
1403,2023-10-27
1238,2023-04-02
392,2020-05-03
233,2019-10-10
1428,2023-11-24
212,2019-09-12
544,2020-11-20
234,2019-10-11
281,2019-12-07
548,2020-11-24
458,2020-08-02
354,2020-03-09
948,2022-04-08
935,2022-03-25
365,2020-03-22
404,2020-05-21
100,2019-05-02
1220,2023-03-09
326,2020-01-28
1419,2023-11-14
760,2021-08-11
671,2021-04-18
815,2021-10-12
498,2020-09-22
440,2020-07-05
1048,2022-08-12
12,2019-01-16
1203,2023-02-18
721,2021-06-19
505,2020-09-30
971,2022-05-06
1129,2022-11-24
1097,2022-10-17
226,2019-10-01
1127,2022-11-22
1468,2024-01-11
974,2022-05-10
248,2019-10-25
467,2020-08-14
951,2022-04-13
1407,2023-10-31
863,2021-12-17
1128,2022-11-23
842,2021-11-20
196,2019-08-25
78,2019-04-06
762,2021-08-13
356,2020-03-12
123,2019-05-26
523,2020-10-23
338,2020-02-12
86,2019-04-17
1465,2024-01-08
380,2020-04-18
1055,2022-08-20
571,2020-12-19
1467,2024-01-10
166,2019-07-20
724,2021-06-22
933,2022-03-23
1093,2022-10-09
648,2021-03-19
866,2021-12-23
81,2019-04-12
98,2019-04-30
1131,2022-11-26
1173,2023-01-15
141,2019-06-20
288,2019-12-16
576,2020-12-25
991,2022-05-29
473,2020-08-24
1303,2023-06-27
109,2019-05-12
647,2021-03-18
244,2019-10-21
756,2021-08-06
542,2020-11-18
1455,2023-12-26
740,2021-07-16
1260,2023-05-05
361,2020-03-17
367,2020-03-29
448,2020-07-16
1246,2023-04-10
1154,2022-12-24
1296,2023-06-20
1262,2023-05-07
95,2019-04-27
1059,2022-08-26
707,2021-06-02
1275,2023-05-22
632,2021-02-27
644,2021-03-14
113,2019-05-16
1466,2024-01-09
568,2020-12-16
1024,2022-07-17
402,2020-05-19
1113,2022-11-04
1109,2022-10-30
717,2021-06-15
1325,2023-07-27
1263,2023-05-08
1033,2022-07-27
321,2020-01-22
705,2021-05-31
1333,2023-08-05
210,2019-09-09
278,2019-12-02
924,2022-03-07
1412,2023-11-05
1324,2023-07-26
336,2020-02-09
1374,2023-09-23
8,2019-01-11
732,2021-07-06
1385,2023-10-06
1107,2022-10-28
716,2021-06-14
561,2020-12-09
348,2020-02-28
138,2019-06-17
111,2019-05-14
332,2020-02-03
1168,2023-01-08
487,2020-09-11
341,2020-02-16
1315,2023-07-14
532,2020-11-07
1433,2023-11-29
511,2020-10-09
834,2021-11-08
641,2021-03-11
302,2020-01-02
1101,2022-10-22
1162,2023-01-02
1450,2023-12-20
854,2021-12-04
1283,2023-06-01
406,2020-05-23
657,2021-03-31
93,2019-04-25
579,2020-12-28
942,2022-04-01
482,2020-09-06
1187,2023-02-01
456,2020-07-31
1084,2022-09-29
289,2019-12-17
1209,2023-02-24
386,2020-04-24
1218,2023-03-07
314,2020-01-15
1099,2022-10-20
450,2020-07-18
418,2020-06-08
1247,2023-04-12
493,2020-09-17
1132,2022-11-27
295,2019-12-24
137,2019-06-16
656,2021-03-30
795,2021-09-19
1364,2023-09-10
1288,2023-06-07
1311,2023-07-09
1170,2023-01-12
45,2019-02-27
298,2019-12-28
859,2021-12-10
916,2022-02-25
841,2021-11-19
204,2019-09-03
830,2021-11-04
1308,2023-07-03
1189,2023-02-03
1249,2023-04-14
585,2021-01-05
199,2019-08-28
855,2021-12-05
787,2021-09-11
973,2022-05-09
32,2019-02-11
1227,2023-03-19
633,2021-03-01
547,2020-11-23
391,2020-05-02
1289,2023-06-08
110,2019-05-13
1232,2023-03-27
1197,2023-02-12
720,2021-06-18
1181,2023-01-26
193,2019-08-22
224,2019-09-28
469,2020-08-18
1135,2022-11-30
609,2021-02-02
1049,2022-08-13
1214,2023-03-02
500,2020-09-24
170,2019-07-26
1017,2022-07-06
1198,2023-02-13
1367,2023-09-13
812,2021-10-08
550,2020-11-26
43,2019-02-25
559,2020-12-06
329,2020-01-31
231,2019-10-06
188,2019-08-17
220,2019-09-22
919,2022-03-01
783,2021-09-07
1363,2023-09-09
250,2019-10-28
1208,2023-02-23
1241,2023-04-05
461,2020-08-07
1043,2022-08-07
50,2019-03-07
665,2021-04-12
663,2021-04-10
773,2021-08-24
1122,2022-11-17
1149,2022-12-16
1355,2023-08-31
662,2021-04-09
976,2022-05-12
1041,2022-08-05
631,2021-02-26
1250,2023-04-15
1177,2023-01-20
116,2019-05-19
702,2021-05-28
1148,2022-12-15
563,2020-12-11
30,2019-02-09
669,2021-04-16
1090,2022-10-05
614,2021-02-08
529,2020-10-31
905,2022-02-13
247,2019-10-24
1332,2023-08-04
1356,2023-09-01
660,2021-04-06
83,2019-04-14
474,2020-08-25
882,2022-01-15
703,2021-05-29
107,2019-05-10
16,2019-01-22
1106,2022-10-27
1276,2023-05-23
941,2022-03-31
790,2021-09-14
1063,2022-08-30
203,2019-09-02
1388,2023-10-10
158,2019-07-09
1248,2023-04-13
586,2021-01-06
543,2020-11-19
1393,2023-10-15
1185,2023-01-30
147,2019-06-27
